dt,n_timepoints,n_seeds,transmission_count,transmission_fraction,dps_captured_count,dps_capture_fraction,std_vx_exit,std_vy_exit,transverse_spread_exit,transverse_temp_mK,mean_final_z,min_Ntot,min_Nmax,u0
1e-06,3001.0,5000.0,5000.0,1.0,3948.0,0.7896,0.1888311244282079,0.18706435860722825,0.26580118098675753,0.7262464305347198,0.02001413962692963,8.514941166524588,2.190965058625967,
2e-06,1501.0,5000.0,5000.0,1.0,3900.0,0.78,0.19164617535971343,0.1909189679082102,0.27051489577681714,0.7522333209760946,0.02002814182151261,16.95394429641875,4.375000879632633,
5e-06,601.0,5000.0,5000.0,1.0,3851.0,0.7702,0.18930514738121756,0.19548744728224568,0.27212456866287044,0.7612121396788263,0.02007056677026778,42.27088761164382,10.974539229808592,
1e-05,301.0,5000.0,5000.0,1.0,3786.0,0.7572,0.19614572405679637,0.19748964811034128,0.27834386319175664,0.7964041228186547,0.020141863476192196,84.53278762820557,21.964366686925004,
2e-05,151.0,5000.0,5000.0,1.0,3725.0,0.745,0.202095208803306,0.201098780926189,0.2851020748981866,0.8355471350081766,0.020283675043907698,169.92121395188215,43.902444880647636,
3e-05,101.0,5000.0,,1.0,,,0.2112941504735664,0.21240099811637683,0.2995987350193242,0.9226779662103007,0.020423102892821662,,,"[ 0.00000000e+00 -9.05344710e-03 -1.99750274e-02  0.00000000e+00
  1.69503096e+01  2.81249595e+01]"
4e-05,76.0,5000.0,,1.0,,,0.22230368046757512,0.22027983612714044,0.31295707781360305,1.0067919976286426,0.020567416781707343,,,"[ 0.00000000e+00 -9.05344710e-03 -1.99750274e-02  0.00000000e+00
  1.69503096e+01  2.81249595e+01]"
5e-05,61.0,5000.0,5000.0,1.0,3307.0,0.6614,0.23023704068022713,0.22764702937412568,0.3237781105696501,1.0776188191869138,0.020720428088748445,423.961913851423,109.97000191911859,
6e-05,51.0,5000.0,,1.0,,,0.2366278778593319,0.23451228121854595,0.333149760051748,1.1409042780836867,0.02080760490434525,,,"[ 0.00000000e+00 -9.05344710e-03 -1.99750274e-02  0.00000000e+00
  1.69503096e+01  2.81249595e+01]"
7e-05,44.0,5000.0,,1.0,,,0.24105724297667322,0.24233120564537317,0.34180843702438796,1.2009799466777624,0.021072367076570873,,,"[ 0.00000000e+00 -9.05344710e-03 -1.99750274e-02  0.00000000e+00
  1.69503096e+01  2.81249595e+01]"
8e-05,39.0,5000.0,,1.0,,,0.246818396630819,0.2510757960087687,0.35207723052882184,1.2742248713657105,0.021084243874918387,,,"[ 0.00000000e+00 -9.05344710e-03 -1.99750274e-02  0.00000000e+00
  1.69503096e+01  2.81249595e+01]"
9e-05,35.0,5000.0,,1.0,,,0.2558482554433637,0.26118621160740624,0.36561806157141835,1.3741226003962959,0.021393620452055895,,,"[ 0.00000000e+00 -9.05344710e-03 -1.99750274e-02  0.00000000e+00
  1.69503096e+01  2.81249595e+01]"
0.0001,31.0,5000.0,5000.0,1.0,2790.0,0.558,0.2598398324979621,0.26477913731635716,0.37097807227727536,1.4147075742062298,0.021818495183458877,845.0417173347438,220.51722209784222,
